Title,Name,Focus,Eligibility,Review_time,Cost,Acceptance_rate,Website
Multidisciplinary,Heliyon (Elsevier),All disciplines,Open to all,3-6 months,Free,Moderate,https://www.cell.com/heliyon/home
Multidisciplinary,PLoS ONE,Broad scope including science and medicine,Open to all,2-4 months,"$1,495 (waivers available)",Moderate,https://journals.plos.org/plosone/
Multidisciplinary,Scientific Reports (Nature),"Natural sciences, engineering, and medical research",Open to all,4-6 months,"$1,695 (waivers available)",Moderate,https://www.nature.com/srep/
Social Sciences,Journal of Social Sciences (SpringerOpen),Social sciences,Open to all,2-4 months,Free,Moderate,https://www.springeropen.com/journals/social-sciences
Social Sciences,Cogent Social Sciences (Taylor & Francis),Interdisciplinary social sciences,Open to all,3-6 months,"$1,250 (waivers available)",Moderate,https://www.cogentoa.com/journal/social-sciences
Education,Education Research International (Hindawi),All aspects of education,Open to all,3-6 months,"$1,500 (waivers available)",Moderate,https://www.hindawi.com/journals/edri/
Education,International Journal of Educational Technology in Higher Education (SpringerOpen),Use of technology in higher education,Open to all,3-6 months,Free,Moderate,https://educationaltechnologyjournal.springeropen.com/
Science and Technology,BMC Research Notes (BioMed Central),"Multidisciplinary, short reports and research notes",Open to all,3-6 months,"$1,530 (waivers available)",Moderate,https://bmcresnotes.biomedcentral.com/
Science and Technology,IEEE Access,Engineering and technology,Open to all,1-3 months,"$1,750 (waivers available)",High,https://ieeeaccess.ieee.org/
UGC CARE Listed Journals,Journal of Physics: Conference Series (IOP Publishing),Conference papers in physics,Open to conference participants,Varies based on conference schedule,"Variable, often covered by conference fees",High,https://iopscience.iop.org/journal/1742-6596
UGC CARE Listed Journals,Indian Journal of Pure and Applied Physics (NISCAIR),Pure and applied physics,Open to all,6-8 months,Free,Moderate,http://www.niscair.res.in/sciencecommunication/ResearchJournals/rejour/ijpap/ijpap0.asp
Medical Sciences,Journal of Physiotherapy,Research in physiotherapy,Open to all,3-4 months,Free,Moderate,https://www.journalofphysiotherapy.com/
Medical Sciences,Indian Journal of Pharmacology,Research in pharmacology,Open to all,3-6 months,Free,Moderate,http://www.ijp-online.com/
Agricultural Sciences,Agricultural Research (Springer),Research in agriculture,Open to all,3-6 months,Free,Moderate,https://www.springer.com/journal/40003
Agricultural Sciences,The Journal of Agricultural Science (Cambridge University Press),Research in agricultural science,Open to all,3-4 months,"$2,175 (waivers available)",Moderate,https://www.cambridge.org/core/journals/journal-of-agricultural-science
Engineering,International Journal of Engineering Research & Technology (IJERT),Research in engineering,Open to all,2-3 months,$200 (waivers available),High,http://www.ijert.org/
Engineering,Journal of Engineering (Hindawi),Research in various engineering fields,Open to all,3-6 months,"$1,500 (waivers available)",Moderate,https://www.hindawi.com/journals/je/
Environmental Sciences,Environmental Research Letters (IOP Publishing),Environmental science,Open to all,3-5 months,"$1,850 (waivers available)",Moderate,https://iopscience.iop.org/journal/1748-9326
Environmental Sciences,Ecology and Society,Ecology and social science,Open to all,4-6 months,Free,Moderate,https://www.ecologyandsociety.org/
Economics,The Quarterly Journal of Economics (Oxford University Press),Economics research,Open to all,4-6 months,Free,Low,https://academic.oup.com/qje
Economics,Journal of Economic Perspectives (American Economic Association),Economics research,Open to all,4-6 months,Free,Moderate,https://www.aeaweb.org/journals/jep
Law,Harvard Law Review,Legal research,"Open to all, but highly competitive",4-6 months,Free,Low,https://harvardlawreview.org/
Law,Yale Law Journal,Legal research,"Open to all, but highly competitive",4-6 months,Free,Low,https://www.yalelawjournal.org/
Medical Sciences,The Lancet,General medicine,Open to all,4-6 months,Free,Low,https://www.thelancet.com/
Medical Sciences,BMJ (British Medical Journal),General medicine,Open to all,3-6 months,Free,Low,https://www.bmj.com/
Medical Sciences,JAMA (Journal of the American Medical Association),General medicine,Open to all,4-6 months,Free,Low,https://jamanetwork.com/journals/jama
Environmental Sciences,Journal of Environmental Management,Environmental management,Open to all,3-5 months,"$2,700 (waivers available)",Moderate,https://www.journals.elsevier.com/journal-of-environmental-management
Environmental Sciences,Global Environmental Change,Environmental science and policy,Open to all,3-6 months,"$3,000 (waivers available)",Moderate,https://www.journals.elsevier.com/global-environmental-change
Business and Economics,Journal of Business Research,Business and management,Open to all,3-5 months,"$1,850 (waivers available)",Moderate,https://www.journals.elsevier.com/journal-of-business-research
Business and Economics,American Economic Review,Economics,Open to all,4-6 months,Free,Low,https://www.aeaweb.org/journals/aer
